"","x"
"1552",277.17075
"1553",212.7602
"1554",366.1865
"1555",287.6923
"1556",353.4145
"1557",307.9012
"1558",243.1457
"1559",80.4739
"1560",3.0509
"1561",320.5022
"1562",638.3571
"1563",1013.1998
"1564",515.36165
"1565",300.6618
"1566",773.2108
"1567",1125.44625
"1568",826.3688
"1569",784.1323
"1570",920.6031
"1571",892.91935
"1572",714.2857
"1573",753.3532
"1574",4.03305
"1575",356.3505
"1576",212.8773
"1577",295.4428
"1578",166.5795
"1579",192.3373
"1580",320.9068
"1581",553.8462
"1582",343.5085
"1583",249.81475
"1584",1163.7252
"1585",498.8034
"1586",3.9831
"1587",658.98795
"1588",195.0339
"1589",954.309
"1590",797.3139
"1591",998.97995
"1592",949.43875
"1593",1161.1627
"1594",924.33235
"1595",1080.7444
"1596",643.423
"1597",670.3747
"1598",952.8083
"1599",12.0712
"1600",15.8562
"1601",649.5275
"1602",1297.9468
"1603",303.954
"1604",190.9247
"1605",1105.86765
"1606",729.11865
"1607",169.9163
"1608",308.19155
"1609",56.9791
"1610",2.9895
"1611",1347.9406
"1612",872.9889
"1613",962.03835
"1614",624.9178
"1615",770.2332
"1616",1006.9376
"1617",602.7354
"1618",700.95965
"1619",1173.4999
"1620",1062.3627
"1621",14.21445
"1622",829.0005
"1623",17.3578
"1624",1580.6128
"1625",734.9015
"1626",3451.9638
"1627",12.9219
"1628",82.3681
"1629",502.9779
"1630",329.4988
"1631",701.5052
"1632",498.1878
"1633",625.3644
"1634",430.5492
"1635",179.1088
"1636",182.22135
"1637",343.1985
"1638",1425.075
"1639",277.73815
"1640",1.1828
"1641",269.1322
"1642",796.87225
"1643",1013.1974
"1644",1960.83385
"1645",4940.0697
"1646",997.7255
"1647",1347.0916
"1648",4234.6595
"1649",5.3635
"1650",1978.9115
"1651",688.1605
"1652",1050.5476
"1653",1124.3551
"1654",15.1705
"1655",1.8692
"1656",85.6045
"1657",1394.1242
"1658",135.9383
"1659",642.8214
"1660",4.2689
"1661",3.4114
